DISTRICT,YEAR,WINNER,CATEGORY,ACCURACY
AL-02,2010,republican,TOSS-UP DEMOCRATIC,N
AL-05,2010,republican,LIKELY REPUBLICAN,Y
AR-01,2010,republican,LEAN REPUBLICAN,Y
AR-01,2012,republican,LIKELY REPUBLICAN,Y
AR-02,2010,republican,LIKELY REPUBLICAN,Y
AR-02,2012,republican,LIKELY REPUBLICAN,Y
AR-04,2010,democrat,LIKELY DEMOCRATIC,Y
AR-04,2012,republican,LEAN REPUBLICAN,Y
AR-04,2014,republican,LIKELY REPUBLICAN,Y
AZ-01,2010,republican,LEAN REPUBLICAN,Y
AZ-01,2012,democrat,LEAN REPUBLICAN,N
AZ-01,2014,democrat,TOSS-UP DEMOCRATIC,Y
AZ-01,2016,democrat,TOSS-UP DEMOCRATIC,Y
AZ-01,2018,democrat,LEAN DEMOCRATIC,Y
AZ-02,2014,republican,TOSS-UP DEMOCRATIC,N
AZ-02,2016,republican,LEAN REPUBLICAN,Y
AZ-02,2018,democrat,LEAN REPUBLICAN,N
AZ-03,2010,republican,LEAN REPUBLICAN,Y
AZ-03,2012,democrat,LIKELY REPUBLICAN,N
AZ-05,2010,republican,TOSS-UP DEMOCRATIC,N
AZ-05,2012,republican,LIKELY REPUBLICAN,Y
AZ-07,2010,democrat,TOSS-UP DEMOCRATIC,Y
AZ-08,2010,democrat,TOSS-UP DEMOCRATIC,Y
AZ-08,2012,republican,LIKELY DEMOCRATIC,N
AZ-09,2014,democrat,LEAN DEMOCRATIC,Y
AZ-09,2016,democrat,LIKELY DEMOCRATIC,Y
CA-03,2010,republican,LEAN REPUBLICAN,Y
CA-03,2012,democrat,LIKELY DEMOCRATIC,Y
CA-03,2014,democrat,LIKELY DEMOCRATIC,Y
CA-07,2012,democrat,TOSS-UP REPUBLICAN,N
CA-07,2014,democrat,TOSS-UP DEMOCRATIC,Y
CA-07,2016,democrat,LEAN DEMOCRATIC,Y
CA-07,2018,democrat,LEAN DEMOCRATIC,Y
CA-09,2012,democrat,LEAN DEMOCRATIC,Y
CA-09,2014,democrat,LIKELY DEMOCRATIC,Y
CA-10,2012,republican,LIKELY REPUBLICAN,Y
CA-10,2014,republican,LIKELY REPUBLICAN,Y
CA-10,2016,republican,LEAN REPUBLICAN,Y
CA-10,2018,democrat,LEAN REPUBLICAN,N
CA-11,2010,democrat,TOSS-UP DEMOCRATIC,Y
CA-16,2012,democrat,LIKELY DEMOCRATIC,Y
CA-16,2014,democrat,LIKELY DEMOCRATIC,Y
CA-16,2016,democrat,LIKELY DEMOCRATIC,Y
CA-18,2010,democrat,LIKELY DEMOCRATIC,Y
CA-20,2010,democrat,TOSS-UP DEMOCRATIC,Y
CA-21,2012,republican,TOSS-UP REPUBLICAN,Y
CA-21,2014,republican,LEAN REPUBLICAN,Y
CA-21,2016,republican,LEAN REPUBLICAN,Y
CA-21,2018,democrat,LIKELY REPUBLICAN,N
CA-24,2012,democrat,LEAN DEMOCRATIC,Y
CA-24,2014,democrat,LIKELY DEMOCRATIC,Y
CA-24,2016,democrat,LIKELY DEMOCRATIC,Y
CA-24,2018,democrat,LIKELY DEMOCRATIC,Y
CA-25,2016,republican,LEAN REPUBLICAN,Y
CA-25,2018,democrat,TOSS-UP REPUBLICAN,N
CA-26,2012,democrat,TOSS-UP DEMOCRATIC,Y
CA-26,2014,democrat,LEAN DEMOCRATIC,Y
CA-31,2012,republican,TOSS-UP REPUBLICAN,Y
CA-31,2014,democrat,TOSS-UP REPUBLICAN,N
CA-31,2016,democrat,LIKELY DEMOCRATIC,Y
CA-36,2014,democrat,TOSS-UP DEMOCRATIC,Y
CA-36,2016,democrat,LIKELY DEMOCRATIC,Y
CA-39,2018,democrat,LEAN REPUBLICAN,N
CA-41,2012,democrat,TOSS-UP DEMOCRATIC,Y
CA-41,2014,democrat,LIKELY DEMOCRATIC,Y
CA-45,2012,republican,LIKELY REPUBLICAN,Y
CA-45,2018,democrat,LEAN REPUBLICAN,N
CA-47,2010,democrat,LEAN DEMOCRATIC,Y
CA-47,2012,democrat,LEAN DEMOCRATIC,Y
CA-48,2018,democrat,LEAN REPUBLICAN,Y
CA-49,2018,democrat,TOSS-UP REPUBLICAN,N
CA-52,2012,democrat,TOSS-UP REPUBLICAN,N
CA-52,2014,democrat,TOSS-UP DEMOCRATIC,Y
CA-52,2016,democrat,LEAN DEMOCRATIC,Y
CO-03,2010,republican,TOSS-UP DEMOCRATIC,N
CO-03,2012,republican,LIKELY REPUBLICAN,Y
CO-04,2010,republican,LEAN REPUBLICAN,Y
CO-04,2012,republican,LIKELY REPUBLICAN,Y
CO-06,2014,republican,LEAN REPUBLICAN,Y
CO-06,2016,republican,TOSS-UP REPUBLICAN,Y
CO-06,2018,democrat,TOSS-UP REPUBLICAN,N
CO-07,2010,democrat,LEAN DEMOCRATIC,Y
CT-04,2010,democrat,LEAN DEMOCRATIC,Y
CT-05,2010,democrat,LEAN DEMOCRATIC,Y
CT-05,2012,democrat,LEAN DEMOCRATIC,Y
CT-05,2014,democrat,LIKELY DEMOCRATIC,Y
CT-05,2016,democrat,LIKELY DEMOCRATIC,Y
DE-00,2010,democrat,LIKELY DEMOCRATIC,Y
FL-02,2010,republican,LEAN REPUBLICAN,Y
FL-02,2014,democrat,LEAN REPUBLICAN,N
FL-02,2016,republican,LEAN REPUBLICAN,Y
FL-03,2012,republican,LIKELY DEMOCRATIC,N
FL-07,2016,democrat,LIKELY REPUBLICAN,N
FL-07,2018,democrat,LEAN DEMOCRATIC,Y
FL-08,2010,republican,LIKELY REPUBLICAN,Y
FL-08,2012,republican,LEAN REPUBLICAN,Y
FL-10,2012,republican,LIKELY REPUBLICAN,Y
FL-10,2014,republican,LIKELY REPUBLICAN,Y
FL-10,2016,democrat,LEAN DEMOCRATIC,Y
FL-12,2010,republican,LEAN REPUBLICAN,Y
FL-13,2014,republican,LIKELY REPUBLICAN,Y
FL-13,2016,democrat,LEAN DEMOCRATIC,Y
FL-13,2018,democrat,LIKELY DEMOCRATIC,Y
FL-16,2012,republican,LIKELY REPUBLICAN,Y
FL-18,2014,democrat,TOSS-UP DEMOCRATIC,Y
FL-18,2016,republican,TOSS-UP DEMOCRATIC,N
FL-18,2018,republican,LIKELY REPUBLICAN,Y
FL-22,2010,republican,TOSS-UP DEMOCRATIC,N
FL-22,2012,democrat,TOSS-UP REPUBLICAN,N
FL-22,2014,democrat,LIKELY DEMOCRATIC,Y
FL-24,2010,republican,LEAN REPUBLICAN,Y
FL-24,2012,democrat,LIKELY REPUBLICAN,N
FL-25,2010,republican,LEAN REPUBLICAN,Y
FL-25,2012,republican,LEAN REPUBLICAN,Y
FL-26,2014,republican,TOSS-UP DEMOCRATIC,N
FL-26,2016,republican,TOSS-UP REPUBLICAN,Y
FL-26,2018,democrat,LEAN REPUBLICAN,N
FL-27,2018,democrat,LEAN DEMOCRATIC,Y
GA-02,2010,democrat,TOSS-UP DEMOCRATIC,Y
GA-06,2018,democrat,LEAN REPUBLICAN,N
GA-07,2018,republican,LIKELY REPUBLICAN,Y
GA-08,2010,republican,LEAN REPUBLICAN,Y
GA-12,2010,democrat,LIKELY DEMOCRATIC,Y
GA-12,2012,democrat,LEAN REPUBLICAN,N
GA-12,2014,republican,LEAN DEMOCRATIC,N
HI-01,2010,democrat,TOSS-UP REPUBLICAN,N
IA-01,2010,democrat,LEAN DEMOCRATIC,Y
IA-01,2012,democrat,LIKELY DEMOCRATIC,Y
IA-01,2014,republican,LIKELY DEMOCRATIC,N
IA-01,2016,republican,TOSS-UP REPUBLICAN,Y
IA-01,2018,democrat,LEAN REPUBLICAN,N
IA-02,2010,democrat,LEAN DEMOCRATIC,Y
IA-02,2012,democrat,LIKELY DEMOCRATIC,Y
IA-02,2016,democrat,LIKELY DEMOCRATIC,Y
IA-02,2018,democrat,LIKELY DEMOCRATIC,Y
IA-03,2010,democrat,LEAN DEMOCRATIC,Y
IA-03,2012,republican,TOSS-UP DEMOCRATIC,N
IA-03,2014,republican,LIKELY REPUBLICAN,Y
IA-03,2016,republican,LEAN REPUBLICAN,Y
IA-03,2018,democrat,LEAN REPUBLICAN,N
IA-04,2012,republican,LEAN REPUBLICAN,Y
IA-04,2014,republican,LIKELY REPUBLICAN,Y
ID-01,2010,republican,TOSS-UP DEMOCRATIC,N
IL-06,2018,democrat,LEAN REPUBLICAN,N
IL-08,2010,republican,LIKELY DEMOCRATIC,N
IL-08,2012,democrat,LIKELY DEMOCRATIC,Y
IL-10,2010,republican,LEAN DEMOCRATIC,N
IL-10,2012,democrat,LEAN DEMOCRATIC,Y
IL-10,2014,republican,TOSS-UP DEMOCRATIC,N
IL-10,2016,democrat,TOSS-UP REPUBLICAN,N
IL-11,2010,republican,LEAN REPUBLICAN,Y
IL-11,2012,democrat,LEAN DEMOCRATIC,Y
IL-11,2014,democrat,LIKELY DEMOCRATIC,Y
IL-12,2012,democrat,TOSS-UP DEMOCRATIC,Y
IL-12,2014,republican,LEAN DEMOCRATIC,N
IL-12,2016,republican,LIKELY REPUBLICAN,Y
IL-12,2018,republican,LEAN REPUBLICAN,Y
IL-13,2012,republican,TOSS-UP REPUBLICAN,Y
IL-13,2014,republican,LEAN REPUBLICAN,Y
IL-13,2016,republican,LIKELY REPUBLICAN,Y
IL-13,2018,republican,LIKELY REPUBLICAN,Y
IL-14,2010,republican,TOSS-UP DEMOCRATIC,N
IL-14,2018,democrat,LIKELY REPUBLICAN,N
IL-17,2010,republican,TOSS-UP DEMOCRATIC,N
IL-17,2012,democrat,LEAN DEMOCRATIC,Y
IL-17,2014,democrat,LEAN DEMOCRATIC,Y
IN-02,2010,democrat,TOSS-UP DEMOCRATIC,Y
IN-02,2012,republican,LIKELY REPUBLICAN,Y
IN-02,2014,republican,LEAN REPUBLICAN,Y
IN-08,2010,republican,LIKELY REPUBLICAN,Y
IN-08,2012,republican,LIKELY REPUBLICAN,Y
IN-09,2010,republican,TOSS-UP DEMOCRATIC,N
KS-02,2018,republican,LIKELY REPUBLICAN,Y
KS-03,2010,republican,LIKELY REPUBLICAN,Y
KS-03,2018,democrat,LEAN REPUBLICAN,N
KY-03,2010,democrat,LIKELY DEMOCRATIC,Y
KY-06,2010,democrat,TOSS-UP DEMOCRATIC,Y
KY-06,2012,republican,LEAN DEMOCRATIC,N
KY-06,2014,republican,LIKELY REPUBLICAN,Y
LA-02,2010,democrat,LEAN DEMOCRATIC,Y
LA-03,2010,republican,LIKELY REPUBLICAN,Y
MA-04,2010,democrat,LEAN DEMOCRATIC,Y
MA-05,2010,democrat,LIKELY DEMOCRATIC,Y
MA-06,2010,democrat,LIKELY DEMOCRATIC,Y
MA-06,2014,democrat,LEAN DEMOCRATIC,Y
MA-10,2010,democrat,TOSS-UP DEMOCRATIC,Y
MD-01,2010,republican,LEAN REPUBLICAN,Y
MD-01,2012,republican,LIKELY REPUBLICAN,Y
MD-06,2012,democrat,TOSS-UP REPUBLICAN,N
MD-06,2016,democrat,LIKELY DEMOCRATIC,Y
ME-01,2010,democrat,TOSS-UP DEMOCRATIC,Y
ME-02,2010,democrat,LEAN DEMOCRATIC,Y
ME-02,2014,republican,LEAN DEMOCRATIC,N
ME-02,2016,republican,TOSS-UP REPUBLICAN,Y
ME-02,2018,democrat,LIKELY REPUBLICAN,N
MI-01,2010,republican,LEAN REPUBLICAN,Y
MI-01,2012,republican,LIKELY REPUBLICAN,Y
MI-01,2014,republican,LEAN REPUBLICAN,Y
MI-01,2016,republican,LEAN REPUBLICAN,Y
MI-03,2012,republican,LIKELY REPUBLICAN,Y
MI-07,2010,republican,TOSS-UP DEMOCRATIC,N
MI-07,2012,republican,LIKELY REPUBLICAN,Y
MI-07,2014,republican,LIKELY REPUBLICAN,Y
MI-07,2016,republican,LEAN REPUBLICAN,Y
MI-08,2016,republican,LIKELY REPUBLICAN,Y
MI-08,2018,democrat,LIKELY REPUBLICAN,N
MI-09,2010,democrat,LEAN DEMOCRATIC,Y
MI-11,2012,republican,LIKELY REPUBLICAN,Y
MI-11,2014,republican,LIKELY REPUBLICAN,Y
MI-11,2018,democrat,LIKELY REPUBLICAN,N
MN-01,2010,democrat,LEAN DEMOCRATIC,Y
MN-01,2018,republican,TOSS-UP DEMOCRATIC,N
MN-02,2012,republican,LIKELY REPUBLICAN,Y
MN-02,2014,republican,LIKELY REPUBLICAN,Y
MN-02,2016,republican,TOSS-UP REPUBLICAN,Y
MN-02,2018,democratic-farmer-labor,TOSS-UP REPUBLICAN,N
MN-03,2012,republican,LIKELY REPUBLICAN,Y
MN-03,2018,democratic-farmer-labor,LEAN REPUBLICAN,N
MN-06,2010,republican,LIKELY REPUBLICAN,Y
MN-06,2012,republican,LIKELY REPUBLICAN,Y
MN-07,2014,democratic-farmer-labor,LIKELY DEMOCRATIC,Y
MN-07,2016,democrat,LIKELY DEMOCRATIC,Y
MN-07,2018,democratic-farmer-labor,LIKELY DEMOCRATIC,Y
MN-08,2010,republican,TOSS-UP DEMOCRATIC,N
MN-08,2012,democratic-farmer-labor,LEAN REPUBLICAN,N
MN-08,2014,democrat,LEAN DEMOCRATIC,Y
MN-08,2016,democrat,LEAN DEMOCRATIC,Y
MN-08,2018,republican,LEAN DEMOCRATIC,N
MO-02,2012,republican,LEAN REPUBLICAN,Y
MO-03,2010,democrat,LEAN DEMOCRATIC,Y
MO-04,2010,republican,TOSS-UP DEMOCRATIC,N
MS-01,2010,republican,TOSS-UP DEMOCRATIC,N
MS-04,2010,republican,TOSS-UP DEMOCRATIC,N
MT-00,2012,republican,LIKELY REPUBLICAN,Y
MT-00,2018,republican,LIKELY REPUBLICAN,Y
NC-02,2010,republican,LEAN DEMOCRATIC,N
NC-07,2010,democrat,TOSS-UP DEMOCRATIC,Y
NC-07,2012,democrat,TOSS-UP DEMOCRATIC,Y
NC-07,2014,republican,LEAN DEMOCRATIC,N
NC-08,2010,democrat,TOSS-UP DEMOCRATIC,Y
NC-08,2012,republican,LEAN REPUBLICAN,Y
NC-09,2016,republican,LIKELY REPUBLICAN,Y
NC-09,2018,republican,LIKELY REPUBLICAN,Y
NC-11,2010,democrat,LEAN DEMOCRATIC,Y
NC-11,2012,republican,TOSS-UP DEMOCRATIC,N
NC-13,2012,republican,LEAN REPUBLICAN,Y
NC-13,2018,republican,LIKELY REPUBLICAN,Y
ND-00,2010,republican,TOSS-UP DEMOCRATIC,N
NE-02,2010,republican,LIKELY REPUBLICAN,Y
NE-02,2012,republican,LIKELY REPUBLICAN,Y
NE-02,2014,democrat,LIKELY REPUBLICAN,N
NE-02,2016,republican,TOSS-UP DEMOCRATIC,N
NE-02,2018,republican,TOSS-UP REPUBLICAN,Y
NH-01,2010,republican,LEAN REPUBLICAN,Y
NH-01,2012,democrat,LEAN REPUBLICAN,N
NH-01,2014,republican,TOSS-UP DEMOCRATIC,N
NH-01,2016,democrat,TOSS-UP REPUBLICAN,N
NH-01,2018,democrat,TOSS-UP DEMOCRATIC,Y
NH-02,2010,republican,TOSS-UP DEMOCRATIC,N
NH-02,2012,democrat,TOSS-UP REPUBLICAN,N
NH-02,2014,democrat,LIKELY DEMOCRATIC,Y
NH-02,2018,democrat,LIKELY DEMOCRATIC,Y
NJ-03,2010,republican,TOSS-UP DEMOCRATIC,N
NJ-03,2012,republican,LEAN REPUBLICAN,Y
NJ-03,2016,republican,LEAN REPUBLICAN,Y
NJ-03,2018,democrat,LIKELY REPUBLICAN,N
NJ-05,2016,democrat,LEAN REPUBLICAN,N
NJ-05,2018,democrat,LEAN DEMOCRATIC,Y
NJ-06,2010,democrat,LIKELY DEMOCRATIC,Y
NJ-06,2012,democrat,LIKELY DEMOCRATIC,Y
NJ-07,2012,republican,LEAN REPUBLICAN,Y
NJ-07,2018,democrat,LEAN REPUBLICAN,N
NJ-08,2012,democrat,LEAN DEMOCRATIC,Y
NJ-09,2012,democrat,LIKELY DEMOCRATIC,Y
NJ-11,2018,democrat,LEAN REPUBLICAN,N
NJ-12,2010,democrat,LIKELY DEMOCRATIC,Y
NJ-12,2012,democrat,LIKELY DEMOCRATIC,Y
NM-01,2010,democrat,TOSS-UP DEMOCRATIC,Y
NM-01,2012,democrat,LEAN DEMOCRATIC,Y
NM-02,2010,republican,LEAN REPUBLICAN,Y
NM-02,2016,republican,LIKELY REPUBLICAN,Y
NM-02,2018,democrat,LIKELY REPUBLICAN,N
NM-03,2010,democrat,LIKELY DEMOCRATIC,Y
NV-02,2012,republican,LIKELY REPUBLICAN,Y
NV-03,2010,republican,LEAN REPUBLICAN,Y
NV-03,2012,republican,LEAN REPUBLICAN,Y
NV-03,2014,republican,LEAN REPUBLICAN,Y
NV-03,2016,democrat,TOSS-UP REPUBLICAN,N
NV-03,2018,democrat,TOSS-UP DEMOCRATIC,Y
NV-04,2014,republican,LIKELY DEMOCRATIC,N
NV-04,2016,democrat,LEAN DEMOCRATIC,Y
NV-04,2018,democrat,LEAN DEMOCRATIC,Y
NY-01,2010,democrat,TOSS-UP DEMOCRATIC,Y
NY-01,2012,democrat,LIKELY DEMOCRATIC,Y
NY-01,2014,republican,LEAN DEMOCRATIC,N
NY-01,2016,republican,LEAN REPUBLICAN,Y
NY-01,2018,democrat,LIKELY REPUBLICAN,N
NY-03,2018,democrat,LIKELY DEMOCRATIC,Y
NY-04,2010,democrat,LIKELY DEMOCRATIC,Y
NY-04,2016,democrat,LIKELY DEMOCRATIC,Y
NY-09,2012,democrat,TOSS-UP REPUBLICAN,N
NY-11,2014,republican,LEAN REPUBLICAN,Y
NY-11,2016,republican,LIKELY REPUBLICAN,Y
NY-13,2010,democrat,LEAN DEMOCRATIC,Y
NY-18,2014,democrat,LEAN DEMOCRATIC,Y
NY-18,2016,democrat,LIKELY DEMOCRATIC,Y
NY-18,2018,democrat,LIKELY DEMOCRATIC,Y
NY-19,2010,democrat,TOSS-UP DEMOCRATIC,Y
NY-19,2012,republican,LIKELY REPUBLICAN,Y
NY-19,2014,republican,LEAN REPUBLICAN,Y
NY-19,2016,republican,TOSS-UP REPUBLICAN,Y
NY-19,2018,democrat,TOSS-UP REPUBLICAN,N
NY-20,2010,republican,TOSS-UP DEMOCRATIC,N
NY-20,2012,democrat,LIKELY REPUBLICAN,N
NY-21,2014,republican,LEAN DEMOCRATIC,N
NY-21,2016,republican,LIKELY REPUBLICAN,Y
NY-22,2010,democrat,LEAN DEMOCRATIC,Y
NY-22,2018,democrat,LEAN REPUBLICAN,N
NY-23,2010,democrat,TOSS-UP DEMOCRATIC,Y
NY-23,2012,republican,LEAN DEMOCRATIC,N
NY-23,2014,republican,LIKELY REPUBLICAN,Y
NY-23,2016,republican,LIKELY REPUBLICAN,Y
NY-24,2010,democrat,TOSS-UP DEMOCRATIC,Y
NY-24,2012,democrat,LIKELY REPUBLICAN,N
NY-24,2014,republican,LIKELY DEMOCRATIC,N
NY-24,2016,republican,LEAN REPUBLICAN,Y
NY-24,2018,democrat,LIKELY REPUBLICAN,N
NY-25,2010,democrat,LEAN DEMOCRATIC,Y
NY-25,2012,democrat,TOSS-UP REPUBLICAN,N
NY-25,2016,democrat,LIKELY DEMOCRATIC,Y
NY-26,2012,democrat,LEAN DEMOCRATIC,Y
NY-29,2010,republican,LIKELY REPUBLICAN,Y
OH-01,2010,republican,LEAN REPUBLICAN,Y
OH-01,2018,republican,LIKELY REPUBLICAN,Y
OH-06,2010,republican,TOSS-UP DEMOCRATIC,N
OH-06,2012,republican,LEAN REPUBLICAN,Y
OH-06,2014,republican,LIKELY REPUBLICAN,Y
OH-10,2010,democrat,LIKELY DEMOCRATIC,Y
OH-12,2010,republican,LIKELY REPUBLICAN,Y
OH-13,2010,democrat,LIKELY DEMOCRATIC,Y
OH-14,2014,republican,LEAN REPUBLICAN,Y
OH-15,2010,republican,LEAN REPUBLICAN,Y
OH-16,2010,republican,TOSS-UP DEMOCRATIC,N
OH-16,2012,republican,LEAN REPUBLICAN,Y
OH-16,2018,republican,LIKELY REPUBLICAN,Y
OH-18,2010,republican,TOSS-UP DEMOCRATIC,N
OK-02,2012,republican,LEAN REPUBLICAN,Y
OR-01,2010,democrat,LIKELY DEMOCRATIC,Y
OR-01,2012,democrat,LIKELY DEMOCRATIC,Y
OR-04,2010,democrat,LIKELY DEMOCRATIC,Y
OR-05,2010,democrat,TOSS-UP DEMOCRATIC,Y
OR-05,2012,democrat,LIKELY DEMOCRATIC,Y
OR-05,2018,democrat,LIKELY DEMOCRATIC,Y
PA-03,2010,republican,LEAN REPUBLICAN,Y
PA-03,2012,republican,LIKELY REPUBLICAN,Y
PA-04,2010,democrat,LEAN DEMOCRATIC,Y
PA-04,2012,republican,LEAN DEMOCRATIC,N
PA-06,2010,republican,LIKELY REPUBLICAN,Y
PA-06,2012,republican,LIKELY REPUBLICAN,Y
PA-06,2016,republican,LIKELY REPUBLICAN,Y
PA-06,2018,democrat,LEAN REPUBLICAN,N
PA-07,2010,republican,LEAN REPUBLICAN,Y
PA-07,2012,republican,LEAN REPUBLICAN,Y
PA-07,2014,republican,LIKELY REPUBLICAN,Y
PA-07,2018,democrat,LIKELY REPUBLICAN,N
PA-08,2010,republican,TOSS-UP DEMOCRATIC,N
PA-08,2012,republican,LEAN REPUBLICAN,Y
PA-08,2014,republican,LIKELY REPUBLICAN,Y
PA-08,2016,republican,TOSS-UP REPUBLICAN,Y
PA-08,2018,democrat,LEAN REPUBLICAN,N
PA-10,2010,republican,TOSS-UP DEMOCRATIC,N
PA-11,2010,republican,TOSS-UP DEMOCRATIC,N
PA-11,2012,republican,TOSS-UP REPUBLICAN,Y
PA-12,2010,democrat,LEAN DEMOCRATIC,Y
PA-12,2012,republican,TOSS-UP DEMOCRATIC,N
PA-15,2010,republican,LIKELY REPUBLICAN,Y
PA-15,2012,republican,LIKELY REPUBLICAN,Y
PA-16,2018,republican,LIKELY REPUBLICAN,Y
PA-17,2010,democrat,LIKELY DEMOCRATIC,Y
PA-17,2012,democrat,LIKELY DEMOCRATIC,Y
PA-17,2018,democrat,LIKELY DEMOCRATIC,Y
RI-01,2010,democrat,LEAN DEMOCRATIC,Y
RI-01,2012,democrat,LEAN DEMOCRATIC,Y
SC-05,2010,republican,TOSS-UP DEMOCRATIC,N
SD-00,2010,republican,TOSS-UP DEMOCRATIC,N
TN-04,2010,republican,TOSS-UP DEMOCRATIC,N
TN-05,2010,democrat,LIKELY DEMOCRATIC,Y
TN-05,2012,democrat,LIKELY DEMOCRATIC,Y
TN-06,2010,republican,LIKELY REPUBLICAN,Y
TN-08,2010,republican,LIKELY REPUBLICAN,Y
TX-07,2018,democrat,LEAN REPUBLICAN,N
TX-14,2012,republican,LIKELY REPUBLICAN,Y
TX-17,2010,republican,LEAN REPUBLICAN,Y
TX-23,2010,republican,TOSS-UP DEMOCRATIC,N
TX-23,2012,democrat,LEAN REPUBLICAN,N
TX-23,2014,republican,LEAN DEMOCRATIC,N
TX-23,2016,republican,TOSS-UP REPUBLICAN,Y
TX-23,2018,republican,LEAN REPUBLICAN,Y
TX-27,2010,republican,LEAN DEMOCRATIC,N
TX-27,2012,republican,LIKELY REPUBLICAN,Y
TX-32,2018,democrat,LEAN REPUBLICAN,N
UT-02,2010,democrat,LEAN DEMOCRATIC,Y
UT-02,2012,republican,TOSS-UP DEMOCRATIC,N
UT-04,2014,republican,LEAN DEMOCRATIC,N
UT-04,2016,republican,LIKELY REPUBLICAN,Y
VA-02,2010,republican,LEAN REPUBLICAN,Y
VA-02,2014,republican,LIKELY REPUBLICAN,Y
VA-02,2018,democrat,LIKELY REPUBLICAN,N
VA-04,2016,democrat,LEAN REPUBLICAN,N
VA-05,2010,republican,LEAN REPUBLICAN,Y
VA-05,2018,republican,LIKELY REPUBLICAN,Y
VA-09,2010,republican,TOSS-UP DEMOCRATIC,N
VA-10,2016,republican,LIKELY REPUBLICAN,Y
VA-10,2018,democrat,TOSS-UP REPUBLICAN,N
VA-11,2010,democrat,TOSS-UP DEMOCRATIC,Y
VA-11,2012,democrat,LIKELY DEMOCRATIC,Y
WA-01,2014,democrat,LIKELY DEMOCRATIC,Y
WA-02,2010,democrat,TOSS-UP DEMOCRATIC,Y
WA-02,2012,democrat,LIKELY DEMOCRATIC,Y
WA-03,2010,republican,LEAN REPUBLICAN,Y
WA-03,2012,republican,LIKELY REPUBLICAN,Y
WA-08,2010,republican,LIKELY REPUBLICAN,Y
WA-08,2012,republican,LEAN REPUBLICAN,Y
WA-08,2018,democrat,LIKELY REPUBLICAN,N
WA-09,2010,democrat,LIKELY DEMOCRATIC,Y
WI-03,2010,democrat,LEAN DEMOCRATIC,Y
WI-03,2018,democrat,LIKELY DEMOCRATIC,Y
WI-07,2010,republican,TOSS-UP DEMOCRATIC,N
WI-07,2012,republican,LEAN REPUBLICAN,Y
WI-07,2014,republican,LIKELY REPUBLICAN,Y
WI-08,2010,republican,LEAN REPUBLICAN,Y
WI-08,2012,republican,LIKELY REPUBLICAN,Y
WV-01,2010,republican,TOSS-UP DEMOCRATIC,N
WV-01,2012,republican,LIKELY REPUBLICAN,Y
WV-02,2014,republican,LEAN REPUBLICAN,Y
WV-02,2016,republican,LIKELY REPUBLICAN,Y
WV-03,2010,democrat,LIKELY DEMOCRATIC,Y
WV-03,2012,democrat,LIKELY DEMOCRATIC,Y
WV-03,2014,republican,LEAN DEMOCRATIC,N